i,j,x,y
0,0,6.999999999999999,0.0
1,0,6.203558296531842,0.0
2,0,5.5110002935160525,0.0
3,0,4.90877594306754,0.0
4,0,4.385102594851443,0.0
5,0,3.929734465967879,0.0
6,0,3.5337621799821717,0.0
7,0,3.1894384530380786,0.0
8,0,2.8900265165649537,0.0
9,0,2.6296683109361494,0.0
10,0,2.4032698712589284,0.0
11,0,2.2064016628439536,0.0
12,0,2.0352119163961495,0.0
13,0,1.8863512673111025,0.0
14,0,1.7569072246284527,0.0
15,0,1.6443471875131053,0.0
16,0,1.5464688943693248,0.0
17,0,1.4613573351138633,0.0
18,0,1.3873472835873752,0.0
19,0,1.322990717042603,0.0
20,0,1.2670284852645404,0.0
21,0,1.2183656750227465,0.0
22,0,1.1760501878559693,0.0
23,0,1.1392541120587716,0.0
24,0,1.1072575244090346,0.0
25,0,1.079434404713611,0.0
26,0,1.0552403875871559,0.0
27,0,1.0342021118250209,0.0
28,0,1.015907958988382,0.0
29,0,0.9998334737126853,-0.0012489471548600977
30,0,0.9994309562372453,-0.0012512374076213261
31,0,0.9982241186042515,-0.0012581590907258663
32,0,0.9962151030022439,-0.001269865777932937
33,0,0.9934074724689793,-0.0012866160344544198
34,0,0.9898062000748854,-0.001308777138329632
35,0,0.9854176539728903,-0.0013368299125836292
36,0,0.9802495784999377,-0.0013713743049887754
37,0,0.9743110715578268,-0.001413135268905945
38,0,0.9676125585359543,-0.0014629684299034143
39,0,0.9601657630650767,-0.0015218649711114573
40,0,0.9519836749086781,-0.001590955137536208
41,0,0.9430805153065894,-0.001671509747328357
42,0,0.933471700084233,-0.0017649391072080047
43,0,0.923173800830679,-0.0018727887602220366
44,0,0.9122045044304016,-0.0019967315464932828
45,0,0.9005825712083134,-0.002138555530727542
46,0,0.8883277919167407,-0.0023001474424833215
47,0,0.8754609437580891,-0.002483471384523775
48,0,0.8620037455998134,-0.0026905426883456693
49,0,0.8479788125007945,-0.002923396931140066
50,0,0.8334096096321851,-0.003184054271484993
51,0,0.8183204056429916,-0.003474479408169792
52,0,0.8027362254927246,-0.0037965376136618705
53,0,0.7866828027517305,-0.004151947436646854
54,0,0.7701865313554356,-0.004542230802614337
55,0,0.7532744167923909,-0.004968661363508098
56,0,0.7359740267080696,-0.005432212053129815
57,0,0.7183134409167765,-0.005933502890712764
58,0,0.7003212008323106,-0.006472750137748694
59,0,0.6820262583532908,-0.007049717950170821
60,0,0.6634579242700924,-0.007663673677412046
61,0,0.6446458162955676,-0.00831334794041419
62,0,0.6256198068593132,-0.008996900571851915
63,0,0.6064099708432197,-0.009711893423947793
64,0,0.5870465334722793,-0.010455270943369871
